Service,Public Law Title,FY,deflator.type,Amount,source.table,data.notes
Army,Family Housing,1951,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1951,Current,267e6,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1951,Current,-73e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1952,Constant,89857e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1952,Constant,68151e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1952,Constant,71988e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1952,Constant,4528e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1952,Constant,8403e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1952,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1952,Constant,1248e6,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1952,Constant,-595e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1952,Current,4939e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1952,Current,6064e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1952,Current,8733e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1952,Current,436e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1952,Current,1025e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1952,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1952,Current,155e6,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1952,Current,-74e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1953,Constant,89327e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1953,Constant,52855e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1953,Constant,34237e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1953,Constant,5753e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1953,Constant,5476e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1953,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1953,Constant,956e6,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1953,Constant,-621e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1953,Current,529e7,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1953,Current,446e7,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1953,Current,4041e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1953,Current,577e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1953,Current,666e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1953,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1953,Current,12e7,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1953,Current,-78e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1954,Constant,82831e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1954,Constant,50287e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1954,Constant,25527e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1954,Constant,5493e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1954,Constant,279e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1954,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1954,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1954,Constant,-747e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1954,Current,4892e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1954,Current,4452e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1954,Current,3009e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1954,Current,573e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1954,Current,12e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1954,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1954,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1954,Current,-92e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1955,Constant,75068e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1955,Constant,34411e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1955,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1955,Constant,4078e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1955,Constant,346e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1955,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1955,Constant,1143e6,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1955,Constant,-937e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1955,Current,449e7,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1955,Current,2711e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1955,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1955,Current,398e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1955,Current,2e7,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1955,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1955,Current,15e7,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1955,Current,-123e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1956,Constant,64334e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1956,Constant,33728e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1956,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1956,Constant,5137e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1956,Constant,414e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1956,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1956,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1956,Constant,-959e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1956,Current,4015e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1956,Current,2834e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1956,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1956,Current,583e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1956,Current,32e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1956,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1956,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1956,Current,-131e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1957,Constant,64457e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1957,Constant,34823e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1957,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1957,Constant,455e7,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1957,Constant,394e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1957,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1957,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1957,Constant,-775e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1957,Current,397e7,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1957,Current,3132e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1957,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1957,Current,533e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1957,Current,55e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1957,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1957,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1957,Current,-114e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1958,Constant,57725e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1958,Constant,34747e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1958,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1958,Constant,4906e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1958,Constant,2739e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1958,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1958,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1958,Constant,518e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1958,Current,3498e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1958,Current,3291e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1958,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1958,Current,577e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1958,Current,365e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1958,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1958,Current,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1958,Current,77e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1959,Constant,55283e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1959,Constant,33317e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1959,Constant,8551e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1959,Constant,8465e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Construction,1959,Constant,1809e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Family Housing,1959,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,Revolving and Management Funds,1959,Constant,0,tbl.6-19,All enacted war and supplemental funding is included
Army,"Trust, Receipts, and Other",1959,Constant,269e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Military Personnel,1959,Current,3611e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Operation and Maintenance,1959,Current,3244e6,tbl.6-19,All enacted war and supplemental funding is included
Army,Procurement,1959,Current,1259e6,tbl.6-19,All enacted war and supplemental funding is included
Army,RDT&E,1959,Current,1111e6,tbl.6-19,All enacted war and supplemental funding is included
