Public Law Title,FY,Amount,Deflator.Type,Source
Family Housing,1991,3296e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1991,2701e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1991,-44358e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1992,81221e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1992,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1992,93791e6,Current,Table 6.8 DOD BA By Title
Procurement,1992,62952e6,Current,Table 6.8 DOD BA By Title
RDT&E,1992,36623e6,Current,Table 6.8 DOD BA By Title
Military Construction,1992,5254e6,Current,Table 6.8 DOD BA By Title
Family Housing,1992,3738e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1992,4587e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1992,-6283e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1993,75974e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1993,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1993,89172e6,Current,Table 6.8 DOD BA By Title
Procurement,1993,52789e6,Current,Table 6.8 DOD BA By Title
RDT&E,1993,37974e6,Current,Table 6.8 DOD BA By Title
Military Construction,1993,4554e6,Current,Table 6.8 DOD BA By Title
Family Housing,1993,3941e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1993,4503e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1993,-1504e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1994,71365e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1994,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1994,8864e7,Current,Table 6.8 DOD BA By Title
Procurement,1994,44141e6,Current,Table 6.8 DOD BA By Title
RDT&E,1994,34567e6,Current,Table 6.8 DOD BA By Title
Military Construction,1994,6009e6,Current,Table 6.8 DOD BA By Title
Family Housing,1994,3501e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1994,4054e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1994,-914e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1995,71557e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1995,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1995,93751e6,Current,Table 6.8 DOD BA By Title
Procurement,1995,43647e6,Current,Table 6.8 DOD BA By Title
RDT&E,1995,34522e6,Current,Table 6.8 DOD BA By Title
Military Construction,1995,5426e6,Current,Table 6.8 DOD BA By Title
Family Housing,1995,3393e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1995,526e7,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1995,-1828e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1996,69775e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1996,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1996,93658e6,Current,Table 6.8 DOD BA By Title
Procurement,1996,42572e6,Current,Table 6.8 DOD BA By Title
RDT&E,1996,34972e6,Current,Table 6.8 DOD BA By Title
Military Construction,1996,6893e6,Current,Table 6.8 DOD BA By Title
Family Housing,1996,426e7,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1996,3061e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1996,-622e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1997,70338e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1997,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1997,92353e6,Current,Table 6.8 DOD BA By Title
Procurement,1997,42963e6,Current,Table 6.8 DOD BA By Title
RDT&E,1997,36404e6,Current,Table 6.8 DOD BA By Title
Military Construction,1997,5718e6,Current,Table 6.8 DOD BA By Title
Family Housing,1997,4131e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1997,7534e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1997,-1436e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1998,69821e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1998,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1998,97215e6,Current,Table 6.8 DOD BA By Title
Procurement,1998,44818e6,Current,Table 6.8 DOD BA By Title
RDT&E,1998,37089e6,Current,Table 6.8 DOD BA By Title
Military Construction,1998,5466e6,Current,Table 6.8 DOD BA By Title
Family Housing,1998,3828e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1998,2591e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1998,-2245e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1999,7065e7,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1999,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1999,104992e6,Current,Table 6.8 DOD BA By Title
Procurement,1999,51112e6,Current,Table 6.8 DOD BA By Title
RDT&E,1999,3829e7,Current,Table 6.8 DOD BA By Title
Military Construction,1999,5405e6,Current,Table 6.8 DOD BA By Title
Family Housing,1999,3592e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1999,5381e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1999,-827e6,Current,Table 6.8 DOD BA By Title
Military Personnel,2000,73838e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2000,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2000,108776e6,Current,Table 6.8 DOD BA By Title
Procurement,2000,54973e6,Current,Table 6.8 DOD BA By Title
RDT&E,2000,38706e6,Current,Table 6.8 DOD BA By Title
Military Construction,2000,5106e6,Current,Table 6.8 DOD BA By Title
Family Housing,2000,3543e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2000,7314e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2000,-1721e6,Current,Table 6.8 DOD BA By Title
Military Personnel,2001,76888e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2001,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2001,125238e6,Current,Table 6.8 DOD BA By Title
Procurement,2001,62607e6,Current,Table 6.8 DOD BA By Title
RDT&E,2001,41594e6,Current,Table 6.8 DOD BA By Title
Military Construction,2001,5423e6,Current,Table 6.8 DOD BA By Title
Family Housing,2001,3683e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2001,5333e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2001,-1338e6,Current,Table 6.8 DOD BA By Title
Military Personnel,2002,86957e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2002,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2002,133851e6,Current,Table 6.8 DOD BA By Title
Procurement,2002,6274e7,Current,Table 6.8 DOD BA By Title
RDT&E,2002,48718e6,Current,Table 6.8 DOD BA By Title
Military Construction,2002,6631e6,Current,Table 6.8 DOD BA By Title
Family Housing,2002,4048e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2002,4389e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2002,-1702e6,Current,Table 6.8 DOD BA By Title
Military Personnel,2003,109062e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2003,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2003,178316e6,Current,Table 6.8 DOD BA By Title
Procurement,2003,7849e7,Current,Table 6.8 DOD BA By Title
RDT&E,2003,58103e6,Current,Table 6.8 DOD BA By Title
Military Construction,2003,667e7,Current,Table 6.8 DOD BA By Title
Family Housing,2003,4183e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2003,4154e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2003,-1178e6,Current,Table 6.8 DOD BA By Title
Military Personnel,2004,116111e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2004,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2004,189763e6,Current,Table 6.8 DOD BA By Title
Procurement,2004,83073e6,Current,Table 6.8 DOD BA By Title
RDT&E,2004,64641e6,Current,Table 6.8 DOD BA By Title
Military Construction,2004,6137e6,Current,Table 6.8 DOD BA By Title
Family Housing,2004,3829e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2004,7977e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2004,-521e6,Current,Table 6.8 DOD BA By Title
Military Personnel,2005,121279e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2005,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2005,179215e6,Current,Table 6.8 DOD BA By Title
Procurement,2005,96614e6,Current,Table 6.8 DOD BA By Title
RDT&E,2005,68825e6,Current,Table 6.8 DOD BA By Title
Military Construction,2005,726e7,Current,Table 6.8 DOD BA By Title
Family Housing,2005,4098e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2005,788e7,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2005,-1259e6,Current,Table 6.8 DOD BA By Title
Military Personnel,2006,128483e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2006,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2006,213532e6,Current,Table 6.8 DOD BA By Title
Procurement,2006,105371e6,Current,Table 6.8 DOD BA By Title
RDT&E,2006,72855e6,Current,Table 6.8 DOD BA By Title
Military Construction,2006,953e7,Current,Table 6.8 DOD BA By Title
Family Housing,2006,4426e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2006,4754e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2006,-2489e6,Current,Table 6.8 DOD BA By Title
Military Personnel,2007,131756e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2007,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2007,240252e6,Current,Table 6.8 DOD BA By Title
Procurement,2007,133772e6,Current,Table 6.8 DOD BA By Title
RDT&E,2007,77549e6,Current,Table 6.8 DOD BA By Title
Military Construction,2007,13961e6,Current,Table 6.8 DOD BA By Title
Family Housing,2007,4024e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2007,2836e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2007,-1905e6,Current,Table 6.8 DOD BA By Title
Military Personnel,2008,139033e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2008,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2008,256223e6,Current,Table 6.8 DOD BA By Title
Procurement,2008,165006e6,Current,Table 6.8 DOD BA By Title
RDT&E,2008,79567e6,Current,Table 6.8 DOD BA By Title
Military Construction,2008,22064e6,Current,Table 6.8 DOD BA By Title
Family Housing,2008,2846e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2008,10296e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2008,-1549e6,Current,Table 6.8 DOD BA By Title
Military Personnel,2009,14929e7,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2009,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2009,271564e6,Current,Table 6.8 DOD BA By Title
Procurement,2009,135438e6,Current,Table 6.8 DOD BA By Title
RDT&E,2009,80005e6,Current,Table 6.8 DOD BA By Title
Military Construction,2009,26815e6,Current,Table 6.8 DOD BA By Title
Family Housing,2009,3848e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2009,-1217e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2009,-1219e6,Current,Table 6.8 DOD BA By Title
Military Personnel,2010,1571e8,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2010,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2010,29363e7,Current,Table 6.8 DOD BA By Title
Procurement,2010,135817e6,Current,Table 6.8 DOD BA By Title
RDT&E,2010,80234e6,Current,Table 6.8 DOD BA By Title
Military Construction,2010,22577e6,Current,Table 6.8 DOD BA By Title
Family Housing,2010,2267e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2010,5639e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2010,-159e7,Current,Table 6.8 DOD BA By Title
Military Personnel,2011,158389e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2011,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2011,305235e6,Current,Table 6.8 DOD BA By Title
Procurement,2011,131898e6,Current,Table 6.8 DOD BA By Title
RDT&E,2011,76687e6,Current,Table 6.8 DOD BA By Title
Military Construction,2011,15991e6,Current,Table 6.8 DOD BA By Title
Family Housing,2011,1833e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2011,2832e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2011,-2086e6,Current,Table 6.8 DOD BA By Title
Military Personnel,2012,158352e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2012,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2012,286775e6,Current,Table 6.8 DOD BA By Title
Procurement,2012,118316e6,Current,Table 6.8 DOD BA By Title
RDT&E,2012,72034e6,Current,Table 6.8 DOD BA By Title
Military Construction,2012,11367e6,Current,Table 6.8 DOD BA By Title
Family Housing,2012,169e7,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2012,7311e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2012,-456e6,Current,Table 6.8 DOD BA By Title
Military Personnel,2013,153531e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2013,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2013,258353e6,Current,Table 6.8 DOD BA By Title
Procurement,2013,97763e6,Current,Table 6.8 DOD BA By Title
RDT&E,2013,63347e6,Current,Table 6.8 DOD BA By Title
Military Construction,2013,8068e6,Current,Table 6.8 DOD BA By Title
Family Housing,2013,1489e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2013,4482e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2013,-1672e6,Current,Table 6.8 DOD BA By Title
Military Personnel,2014,150186e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2014,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2014,262453e6,Current,Table 6.8 DOD BA By Title
Procurement,2014,100405e6,Current,Table 6.8 DOD BA By Title
RDT&E,2014,63483e6,Current,Table 6.8 DOD BA By Title
Military Construction,2014,8392e6,Current,Table 6.8 DOD BA By Title
Family Housing,2014,1417e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2014,1129e7,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2014,-1886e6,Current,Table 6.8 DOD BA By Title
Military Personnel,2015,145859e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2015,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2015,246572e6,Current,Table 6.8 DOD BA By Title
Procurement,2015,10211e7,Current,Table 6.8 DOD BA By Title
RDT&E,2015,63869e6,Current,Table 6.8 DOD BA By Title
Military Construction,2015,5652e6,Current,Table 6.8 DOD BA By Title
Family Housing,2015,114e7,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2015,7478e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2015,-1837e6,Current,Table 6.8 DOD BA By Title
Military Personnel,2016,145446e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2016,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2016,24515e7,Current,Table 6.8 DOD BA By Title
Procurement,2016,118895e6,Current,Table 6.8 DOD BA By Title
RDT&E,2016,69543e6,Current,Table 6.8 DOD BA By Title
Military Construction,2016,6927e6,Current,Table 6.8 DOD BA By Title
Family Housing,2016,1253e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2016,9305e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2016,-794e6,Current,Table 6.8 DOD BA By Title
Military Personnel,2017,145675e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2017,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2017,249922e6,Current,Table 6.8 DOD BA By Title
Procurement,2017,119715e6,Current,Table 6.8 DOD BA By Title
RDT&E,2017,70481e6,Current,Table 6.8 DOD BA By Title
Military Construction,2017,6647e6,Current,Table 6.8 DOD BA By Title
Family Housing,2017,1331e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2017,1263e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2017,-894e6,Current,Table 6.8 DOD BA By Title
Military Personnel,2018,149199e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",2018,NA,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,2018,224312e6,Current,Table 6.8 DOD BA By Title
Procurement,2018,115169e6,Current,Table 6.8 DOD BA By Title
RDT&E,2018,83047e6,Current,Table 6.8 DOD BA By Title
Military Construction,2018,8375e6,Current,Table 6.8 DOD BA By Title
Family Housing,2018,1407e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,2018,2096e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",2018,-1349e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1948,89054e6,Constant,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1948,3027e6,Constant,Table 6.8 DOD BA By Title
Operation and Maintenance,1948,65033e6,Constant,Table 6.8 DOD BA By Title
Procurement,1948,38621e6,Constant,Table 6.8 DOD BA By Title
RDT&E,1948,5095e6,Constant,Table 6.8 DOD BA By Title
Military Construction,1948,224e7,Constant,Table 6.8 DOD BA By Title
Family Housing,1948,0,Constant,Table 6.8 DOD BA By Title
Revolving and Management Funds,1948,0,Constant,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1948,-8309e6,Constant,Table 6.8 DOD BA By Title
Military Personnel,1949,95582e6,Constant,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1949,332e7,Constant,Table 6.8 DOD BA By Title
Operation and Maintenance,1949,6633e7,Constant,Table 6.8 DOD BA By Title
Procurement,1949,17505e6,Constant,Table 6.8 DOD BA By Title
RDT&E,1949,2603e6,Constant,Table 6.8 DOD BA By Title
Military Construction,1949,1121e6,Constant,Table 6.8 DOD BA By Title
Family Housing,1949,0,Constant,Table 6.8 DOD BA By Title
Revolving and Management Funds,1949,0,Constant,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1949,-4751e6,Constant,Table 6.8 DOD BA By Title
Military Personnel,1950,94205e6,Constant,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1950,3231e6,Constant,Table 6.8 DOD BA By Title
Operation and Maintenance,1950,63729e6,Constant,Table 6.8 DOD BA By Title
Procurement,1950,35888e6,Constant,Table 6.8 DOD BA By Title
RDT&E,1950,6098e6,Constant,Table 6.8 DOD BA By Title
Military Construction,1950,3256e6,Constant,Table 6.8 DOD BA By Title
Family Housing,1950,0,Constant,Table 6.8 DOD BA By Title
Revolving and Management Funds,1950,1438e6,Constant,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1950,-181e7,Constant,Table 6.8 DOD BA By Title
Military Personnel,1951,151423e6,Constant,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1951,3806e6,Constant,Table 6.8 DOD BA By Title
Operation and Maintenance,1951,137872e6,Constant,Table 6.8 DOD BA By Title
Procurement,1951,195297e6,Constant,Table 6.8 DOD BA By Title
RDT&E,1951,12342e6,Constant,Table 6.8 DOD BA By Title
Military Construction,1951,20513e6,Constant,Table 6.8 DOD BA By Title
Family Housing,1951,0,Constant,Table 6.8 DOD BA By Title
Revolving and Management Funds,1951,447e7,Constant,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1951,-1475e6,Constant,Table 6.8 DOD BA By Title
Military Personnel,1952,202199e6,Constant,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1952,392e7,Constant,Table 6.8 DOD BA By Title
Operation and Maintenance,1952,153972e6,Constant,Table 6.8 DOD BA By Title
Procurement,1952,272324e6,Constant,Table 6.8 DOD BA By Title
RDT&E,1952,168e8,Constant,Table 6.8 DOD BA By Title
Military Construction,1952,33231e6,Constant,Table 6.8 DOD BA By Title
Family Housing,1952,0,Constant,Table 6.8 DOD BA By Title
Revolving and Management Funds,1952,6255e6,Constant,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1952,-1477e6,Constant,Table 6.8 DOD BA By Title
Military Personnel,1953,205797e6,Constant,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1953,3992e6,Constant,Table 6.8 DOD BA By Title
Operation and Maintenance,1953,133334e6,Constant,Table 6.8 DOD BA By Title
Procurement,1953,188893e6,Constant,Table 6.8 DOD BA By Title
RDT&E,1953,20947e6,Constant,Table 6.8 DOD BA By Title
Military Construction,1953,19117e6,Constant,Table 6.8 DOD BA By Title
Family Housing,1953,0,Constant,Table 6.8 DOD BA By Title
Revolving and Management Funds,1953,2867e6,Constant,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1953,-1641e6,Constant,Table 6.8 DOD BA By Title
Military Personnel,1954,196603e6,Constant,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1954,4637e6,Constant,Table 6.8 DOD BA By Title
Operation and Maintenance,1954,125393e6,Constant,Table 6.8 DOD BA By Title
Procurement,1954,88353e6,Constant,Table 6.8 DOD BA By Title
RDT&E,1954,20859e6,Constant,Table 6.8 DOD BA By Title
Military Construction,1954,2899e6,Constant,Table 6.8 DOD BA By Title
Family Housing,1954,0,Constant,Table 6.8 DOD BA By Title
Revolving and Management Funds,1954,81e7,Constant,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1954,-2218e6,Constant,Table 6.8 DOD BA By Title
Military Personnel,1955,186136e6,Constant,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1955,4782e6,Constant,Table 6.8 DOD BA By Title
Operation and Maintenance,1955,102146e6,Constant,Table 6.8 DOD BA By Title
Procurement,1955,62491e6,Constant,Table 6.8 DOD BA By Title
RDT&E,1955,20479e6,Constant,Table 6.8 DOD BA By Title
Military Construction,1955,7212e6,Constant,Table 6.8 DOD BA By Title
Family Housing,1955,574e6,Constant,Table 6.8 DOD BA By Title
Revolving and Management Funds,1955,8528e6,Constant,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1955,-2759e6,Constant,Table 6.8 DOD BA By Title
Military Personnel,1956,176059e6,Constant,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1956,5231e6,Constant,Table 6.8 DOD BA By Title
Operation and Maintenance,1956,10638e7,Constant,Table 6.8 DOD BA By Title
Procurement,1956,72881e6,Constant,Table 6.8 DOD BA By Title
RDT&E,1956,26711e6,Constant,Table 6.8 DOD BA By Title
Military Construction,1956,9678e6,Constant,Table 6.8 DOD BA By Title
Family Housing,1956,0,Constant,Table 6.8 DOD BA By Title
Revolving and Management Funds,1956,0,Constant,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1956,-2899e6,Constant,Table 6.8 DOD BA By Title
Military Personnel,1957,177681e6,Constant,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1957,5238e6,Constant,Table 6.8 DOD BA By Title
Operation and Maintenance,1957,107508e6,Constant,Table 6.8 DOD BA By Title
Procurement,1957,8096e7,Constant,Table 6.8 DOD BA By Title
RDT&E,1957,31828e6,Constant,Table 6.8 DOD BA By Title
Military Construction,1957,10737e6,Constant,Table 6.8 DOD BA By Title
Family Housing,1957,52e7,Constant,Table 6.8 DOD BA By Title
Revolving and Management Funds,1957,0,Constant,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1957,-2306e6,Constant,Table 6.8 DOD BA By Title
Military Personnel,1958,16473e7,Constant,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1958,5717e6,Constant,Table 6.8 DOD BA By Title
Operation and Maintenance,1958,108219e6,Constant,Table 6.8 DOD BA By Title
Procurement,1958,82458e6,Constant,Table 6.8 DOD BA By Title
RDT&E,1958,29772e6,Constant,Table 6.8 DOD BA By Title
Military Construction,1958,15091e6,Constant,Table 6.8 DOD BA By Title
Family Housing,1958,376e6,Constant,Table 6.8 DOD BA By Title
Revolving and Management Funds,1958,504e6,Constant,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1958,1506e6,Constant,Table 6.8 DOD BA By Title
Military Personnel,1959,159754e6,Constant,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1959,6031e6,Constant,Table 6.8 DOD BA By Title
Operation and Maintenance,1959,106032e6,Constant,Table 6.8 DOD BA By Title
Procurement,1959,105378e6,Constant,Table 6.8 DOD BA By Title
RDT&E,1959,38403e6,Constant,Table 6.8 DOD BA By Title
Military Construction,1959,10184e6,Constant,Table 6.8 DOD BA By Title
Family Housing,1959,379e6,Constant,Table 6.8 DOD BA By Title
Revolving and Management Funds,1959,0,Constant,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1959,1537e6,Constant,Table 6.8 DOD BA By Title
Military Personnel,1960,157715e6,Constant,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1960,6793e6,Constant,Table 6.8 DOD BA By Title
Operation and Maintenance,1960,103566e6,Constant,Table 6.8 DOD BA By Title
Procurement,1960,93465e6,Constant,Table 6.8 DOD BA By Title
RDT&E,1960,40957e6,Constant,Table 6.8 DOD BA By Title
Military Construction,1960,989e7,Constant,Table 6.8 DOD BA By Title
Family Housing,1960,203e6,Constant,Table 6.8 DOD BA By Title
Revolving and Management Funds,1960,0,Constant,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1960,1848e6,Constant,Table 6.8 DOD BA By Title
Military Personnel,1961,15718e7,Constant,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1961,7524e6,Constant,Table 6.8 DOD BA By Title
Operation and Maintenance,1961,102245e6,Constant,Table 6.8 DOD BA By Title
Procurement,1961,97695e6,Constant,Table 6.8 DOD BA By Title
RDT&E,1961,42668e6,Constant,Table 6.8 DOD BA By Title
Military Construction,1961,7688e6,Constant,Table 6.8 DOD BA By Title
Family Housing,1961,198e6,Constant,Table 6.8 DOD BA By Title
Revolving and Management Funds,1961,0,Constant,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1961,422e6,Constant,Table 6.8 DOD BA By Title
Military Personnel,1962,170229e6,Constant,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1962,8759e6,Constant,Table 6.8 DOD BA By Title
Operation and Maintenance,1962,108139e6,Constant,Table 6.8 DOD BA By Title
Procurement,1962,129002e6,Constant,Table 6.8 DOD BA By Title
RDT&E,1962,45102e6,Constant,Table 6.8 DOD BA By Title
Military Construction,1962,5675e6,Constant,Table 6.8 DOD BA By Title
Family Housing,1962,3177e6,Constant,Table 6.8 DOD BA By Title
Revolving and Management Funds,1962,2133e6,Constant,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1962,664e6,Constant,Table 6.8 DOD BA By Title
Military Personnel,1963,16688e7,Constant,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1963,9847e6,Constant,Table 6.8 DOD BA By Title
Operation and Maintenance,1963,105964e6,Constant,Table 6.8 DOD BA By Title
Procurement,1963,132958e6,Constant,Table 6.8 DOD BA By Title
RDT&E,1963,48767e6,Constant,Table 6.8 DOD BA By Title
Military Construction,1963,829e7,Constant,Table 6.8 DOD BA By Title
Family Housing,1963,4151e6,Constant,Table 6.8 DOD BA By Title
Revolving and Management Funds,1963,6e6,Constant,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1963,-714e6,Constant,Table 6.8 DOD BA By Title
Military Personnel,1964,167507e6,Constant,Table 6.8 DOD BA By Title
