Public Law Title,FY,Amount,Deflator.Type,Source
Revolving and Management Funds,1956,0,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1956,-396e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1957,11038e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1957,515e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1957,9526e6,Current,Table 6.8 DOD BA By Title
Procurement,1957,9405e6,Current,Table 6.8 DOD BA By Title
RDT&E,1957,422e7,Current,Table 6.8 DOD BA By Title
Military Construction,1957,1475e6,Current,Table 6.8 DOD BA By Title
Family Housing,1957,75e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1957,0,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1957,-339e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1958,10415e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1958,567e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1958,10108e6,Current,Table 6.8 DOD BA By Title
Procurement,1958,9477e6,Current,Table 6.8 DOD BA By Title
RDT&E,1958,3964e6,Current,Table 6.8 DOD BA By Title
Military Construction,1958,2086e6,Current,Table 6.8 DOD BA By Title
Family Housing,1958,55e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1958,75e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1958,224e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1959,10823e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1959,64e7,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1959,10276e6,Current,Table 6.8 DOD BA By Title
Procurement,1959,12709e6,Current,Table 6.8 DOD BA By Title
RDT&E,1959,5278e6,Current,Table 6.8 DOD BA By Title
Military Construction,1959,1384e6,Current,Table 6.8 DOD BA By Title
Family Housing,1959,57e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1959,0,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1959,234e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1960,10881e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1960,715e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1960,10317e6,Current,Table 6.8 DOD BA By Title
Procurement,1960,11596e6,Current,Table 6.8 DOD BA By Title
RDT&E,1960,5725e6,Current,Table 6.8 DOD BA By Title
Military Construction,1960,1364e6,Current,Table 6.8 DOD BA By Title
Family Housing,1960,3e7,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1960,0,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1960,279e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1961,10989e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1961,79e7,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1961,10702e6,Current,Table 6.8 DOD BA By Title
Procurement,1961,11716e6,Current,Table 6.8 DOD BA By Title
RDT&E,1961,6033e6,Current,Table 6.8 DOD BA By Title
Military Construction,1961,1061e6,Current,Table 6.8 DOD BA By Title
Family Housing,1961,3e7,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1961,0,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1961,65e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1962,1179e7,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1962,92e7,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1962,11503e6,Current,Table 6.8 DOD BA By Title
Procurement,1962,15746e6,Current,Table 6.8 DOD BA By Title
RDT&E,1962,6402e6,Current,Table 6.8 DOD BA By Title
Military Construction,1962,787e6,Current,Table 6.8 DOD BA By Title
Family Housing,1962,44e7,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1962,325e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1962,101e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1963,11713e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1963,1026e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1963,11496e6,Current,Table 6.8 DOD BA By Title
Procurement,1963,16647e6,Current,Table 6.8 DOD BA By Title
RDT&E,1963,6993e6,Current,Table 6.8 DOD BA By Title
Military Construction,1963,1204e6,Current,Table 6.8 DOD BA By Title
Family Housing,1963,59e7,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1963,1e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1963,-109e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1964,12655e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1964,1228e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1964,11705e6,Current,Table 6.8 DOD BA By Title
Procurement,1964,15645e6,Current,Table 6.8 DOD BA By Title
RDT&E,1964,6984e6,Current,Table 6.8 DOD BA By Title
Military Construction,1964,949e6,Current,Table 6.8 DOD BA By Title
Family Housing,1964,644e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1964,0,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1964,-183e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1965,13257e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1965,1399e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1965,12603e6,Current,Table 6.8 DOD BA By Title
Procurement,1965,13836e6,Current,Table 6.8 DOD BA By Title
RDT&E,1965,6483e6,Current,Table 6.8 DOD BA By Title
Military Construction,1965,1049e6,Current,Table 6.8 DOD BA By Title
Family Housing,1965,631e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1965,0,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1965,-2e8,Current,Table 6.8 DOD BA By Title
Military Personnel,1966,15473e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1966,16e8,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1966,15339e6,Current,Table 6.8 DOD BA By Title
