Military.Department,FY,Account,Public.Law.Title,Amount,spending.type,Source_Data
Army,2001,Base,Military.Personnel,28837e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2001,Global War on Terror,Military.Personnel,0,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2001,Other Supplemental,Military.Personnel,222e6,Other Discretionary,"FY19 Green Book, tbl 2.1"
Army,2002,Base,Military.Personnel,32237e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2002,Global War on Terror,Military.Personnel,0,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2003,Base,Military.Personnel,35534e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2003,Global War on Terror,Military.Personnel,8574e6,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2004,Base,Military.Personnel,35814e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2004,Global War on Terror,Military.Personnel,13775e6,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2004,Other Supplemental,Military.Personnel,0,Other Discretionary,"FY19 Green Book, tbl 2.1"
Army,2005,Base,Military.Personnel,36808e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2005,Global War on Terror,Military.Personnel,1394e7,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2005,Hurricane & Tsunami Relief,Military.Personnel,0,Emergency Relief,"FY19 Green Book, tbl 2.1"
Army,2006,Base,Military.Personnel,42397e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2006,Global War on Terror,Military.Personnel,11926e6,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2006,Hurricane Relief,Military.Personnel,23e7,Emergency Relief,"FY19 Green Book, tbl 2.1"
Army,2006,Avian Flu Relief,Military.Personnel,0,Emergency Relief,"FY19 Green Book, tbl 2.1"
Army,2001,Base,O.M,25507e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2001,Global War on Terror,O.M,0,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2001,Other Supplemental,O.M,865e6,Other Discretionary,"FY19 Green Book, tbl 2.1"
Army,2002,Base,O.M,30966e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2002,Global War on Terror,O.M,107e6,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2003,Base,O.M,32988e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2003,Global War on Terror,O.M,17418e6,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2004,Base,O.M,32849e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2004,Global War on Terror,O.M,3863e7,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2004,Other Supplemental,O.M,47e6,Other Discretionary,"FY19 Green Book, tbl 2.1"
Army,2005,Base,O.M,34652e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2005,Global War on Terror,O.M,24319e6,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2005,Hurricane & Tsunami Relief,O.M,15e6,Emergency Relief,"FY19 Green Book, tbl 2.1"
Army,2006,Base,O.M,30665e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2006,Global War on Terror,O.M,44518e6,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2006,Hurricane Relief,O.M,273e6,Emergency Relief,"FY19 Green Book, tbl 2.1"
Army,2006,Avian Flu Relief,O.M,0,Emergency Relief,"FY19 Green Book, tbl 2.1"
Army,2001,Base,Procurement,11849e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2001,Global War on Terror,Procurement,0,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2001,Other Supplemental,Procurement,7e6,Other Discretionary,"FY19 Green Book, tbl 2.1"
Army,2002,Base,Procurement,11567e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2002,Global War on Terror,Procurement,57e6,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2003,Base,Procurement,14578e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2003,Global War on Terror,Procurement,75e7,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2004,Base,Procurement,1377e7,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2004,Global War on Terror,Procurement,216e7,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2004,Other Supplemental,Procurement,0,Other Discretionary,"FY19 Green Book, tbl 2.1"
Army,2005,Base,Procurement,15337e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2005,Global War on Terror,Procurement,10101e6,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2005,Hurricane & Tsunami Relief,Procurement,0,Emergency Relief,"FY19 Green Book, tbl 2.1"
Army,2006,Base,Procurement,14526e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2006,Global War on Terror,Procurement,1356e7,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2006,Hurricane Relief,Procurement,49e6,Emergency Relief,"FY19 Green Book, tbl 2.1"
Army,2006,Avian Flu Relief,Procurement,0,Emergency Relief,"FY19 Green Book, tbl 2.1"
Army,2001,Base,RDT.E,6216e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2001,Global War on Terror,RDT.E,0,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2001,Other Supplemental,RDT.E,5e6,Other Discretionary,"FY19 Green Book, tbl 2.1"
Army,2002,Base,RDT.E,7037e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2002,Global War on Terror,RDT.E,-7e6,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2003,Base,RDT.E,7559e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2003,Global War on Terror,RDT.E,12e6,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2004,Base,RDT.E,10217e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2004,Global War on Terror,RDT.E,0,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2004,Other Supplemental,RDT.E,0,Other Discretionary,"FY19 Green Book, tbl 2.1"
Army,2005,Base,RDT.E,10417e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2005,Global War on Terror,RDT.E,39e6,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2005,Hurricane & Tsunami Relief,RDT.E,0,Emergency Relief,"FY19 Green Book, tbl 2.1"
Army,2006,Base,RDT.E,11625e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
Army,2006,Global War on Terror,RDT.E,68e6,OCO.GWOT,"FY19 Green Book, tbl 2.1"
Army,2006,Hurricane Relief,RDT.E,0,Emergency Relief,"FY19 Green Book, tbl 2.1"
Army,2006,Avian Flu Relief,RDT.E,0,Emergency Relief,"FY19 Green Book, tbl 2.1"
Army,2001,Base,Military.Construction,1591e6,"Base, Discretionary","FY19 Green Book, tbl 2.1"
