FY,Service,Active.or.Civilians,Personnel
1998,Marine Corps,Active,173e3
1999,Marine Corps,Active,173e3
2000,Marine Corps,Active,173e3
2001,Marine Corps,Active,173e3
2002,Marine Corps,Active,174e3
2003,Marine Corps,Active,178e3
2004,Marine Corps,Active,178e3
2005,Marine Corps,Active,18e4
2006,Marine Corps,Active,18e4
2007,Marine Corps,Active,186e3
2008,Marine Corps,Active,199e3
2009,Marine Corps,Active,203e3
2010,Marine Corps,Active,202e3
2011,Marine Corps,Active,201e3
2012,Marine Corps,Active,198e3
2013,Marine Corps,Active,196e3
2014,Marine Corps,Active,188e3
2015,Marine Corps,Active,184e3
2016,Marine Corps,Active,184e3
2017,Marine Corps,Active,185e3
2018,Marine Corps,Active,185e3
2019,Marine Corps,Active,186e3
1940,Air Force,Active,51e3
1941,Air Force,Active,152e3
1942,Air Force,Active,764e3
1943,Air Force,Active,2197e3
1944,Air Force,Active,2372e3
1945,Air Force,Active,2282e3
1946,Air Force,Active,456e3
1947,Air Force,Active,306e3
1948,Air Force,Active,388e3
1949,Air Force,Active,419e3
1950,Air Force,Active,411e3
1951,Air Force,Active,788e3
1952,Air Force,Active,983e3
1953,Air Force,Active,978e3
1954,Air Force,Active,948e3
1955,Air Force,Active,96e4
1956,Air Force,Active,91e4
1957,Air Force,Active,92e4
1958,Air Force,Active,871e3
1959,Air Force,Active,84e4
1960,Air Force,Active,815e3
1961,Air Force,Active,821e3
1962,Air Force,Active,885e3
1963,Air Force,Active,87e4
1964,Air Force,Active,857e3
1965,Air Force,Active,825e3
1966,Air Force,Active,887e3
1967,Air Force,Active,897e3
1968,Air Force,Active,905e3
1969,Air Force,Active,862e3
1970,Air Force,Active,791e3
1971,Air Force,Active,755e3
1972,Air Force,Active,726e3
1973,Air Force,Active,691e3
1974,Air Force,Active,644e3
1975,Air Force,Active,613e3
1976,Air Force,Active,585e3
1977,Air Force,Active,57e4
1978,Air Force,Active,569e3
1979,Air Force,Active,559e3
1980,Air Force,Active,558e3
1981,Air Force,Active,57e4
1982,Air Force,Active,583e3
1983,Air Force,Active,592e3
1984,Air Force,Active,597e3
1985,Air Force,Active,602e3
1986,Air Force,Active,608e3
1987,Air Force,Active,607e3
1988,Air Force,Active,576e3
1989,Air Force,Active,571e3
1990,Air Force,Active,539e3
1991,Air Force,Active,511e3
1992,Air Force,Active,47e4
1993,Air Force,Active,444e3
1994,Air Force,Active,426e3
1995,Air Force,Active,4e5
1996,Air Force,Active,389e3
1997,Air Force,Active,378e3
1998,Air Force,Active,367e3
1999,Air Force,Active,361e3
2000,Air Force,Active,356e3
2001,Air Force,Active,354e3
2002,Air Force,Active,368e3
2003,Air Force,Active,375e3
2004,Air Force,Active,377e3
2005,Air Force,Active,352e3
2006,Air Force,Active,349e3
2007,Air Force,Active,333e3
2008,Air Force,Active,327e3
2009,Air Force,Active,333e3
2010,Air Force,Active,334e3
2011,Air Force,Active,333e3
2012,Air Force,Active,333e3
2013,Air Force,Active,331e3
2014,Air Force,Active,316e3
2015,Air Force,Active,311e3
2016,Air Force,Active,318e3
2017,Air Force,Active,323e3
2018,Air Force,Active,325e3
2019,Air Force,Active,329e3
1940,Full Time Guard and Reserve,Active,0
1941,Full Time Guard and Reserve,Active,0
1942,Full Time Guard and Reserve,Active,0
1943,Full Time Guard and Reserve,Active,0
1944,Full Time Guard and Reserve,Active,0
1945,Full Time Guard and Reserve,Active,0
1946,Full Time Guard and Reserve,Active,0
1947,Full Time Guard and Reserve,Active,0
1948,Full Time Guard and Reserve,Active,0
1949,Full Time Guard and Reserve,Active,0
1950,Full Time Guard and Reserve,Active,0
1951,Full Time Guard and Reserve,Active,0
1952,Full Time Guard and Reserve,Active,0
1953,Full Time Guard and Reserve,Active,0
1954,Full Time Guard and Reserve,Active,0
1955,Full Time Guard and Reserve,Active,0
1956,Full Time Guard and Reserve,Active,0
1957,Full Time Guard and Reserve,Active,0
1958,Full Time Guard and Reserve,Active,0
1959,Full Time Guard and Reserve,Active,0
1960,Full Time Guard and Reserve,Active,0
1961,Full Time Guard and Reserve,Active,0
1962,Full Time Guard and Reserve,Active,0
1963,Full Time Guard and Reserve,Active,0
1964,Full Time Guard and Reserve,Active,0
1965,Full Time Guard and Reserve,Active,0
1966,Full Time Guard and Reserve,Active,0
1967,Full Time Guard and Reserve,Active,0
1968,Full Time Guard and Reserve,Active,0
1969,Full Time Guard and Reserve,Active,0
1970,Full Time Guard and Reserve,Active,1e3
1971,Full Time Guard and Reserve,Active,1e3
1972,Full Time Guard and Reserve,Active,1e3
1973,Full Time Guard and Reserve,Active,1e3
