source.table,budget.type,deflator.type,public.law.title,FY,amount
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1951,45173000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1951,3858000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1951,146104000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1951,205337000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1951,12663000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1951,14539000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1951,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1951,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1951,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1951,550108000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1951,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1952,11141000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1952,331000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1952,13661000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1952,28173000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1952,1796000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1952,2087000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1952,0
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1952,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1952,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1952,57188000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1952,4018000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1952,174043000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1952,277787000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1952,18408000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1952,18677000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1952,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1952,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1952,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1952,718991000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1952,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1953,12181000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1953,356000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1953,10884000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1953,16481000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1953,2112000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1953,2269000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1953,0
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1953,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1953,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1953,44283000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1953,4263000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1953,147063000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1953,162991000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1953,21459000000
