source.table,budget.type,deflator.type,military.dept,FY,amount
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1948,3162000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1948,4469000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1948,4097000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1948,175000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1948,68583000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1948,78601000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1948,63416000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1948,3244000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1949,4034000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1949,4726000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1949,4244000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1949,200000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1949,78838000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1949,79031000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1949,66892000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1949,3652000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1950,4288000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1950,4517000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1950,5323000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1950,208000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1950,75134000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1950,74188000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1950,76525000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1950,3965000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1951,17453000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1951,12212000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1951,15102000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1951,405000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1951,210061000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1951,154222000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1951,181176000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1951,4649000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1952,21685000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1952,15147000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1952,19986000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1952,371000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1952,269309000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1952,200899000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1952,244288000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1952,4494000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1953,13475000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1953,11762000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1953,18650000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1953,397000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1953,192486000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1953,162744000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1953,226263000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1953,4730000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1954,9892000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1954,8080000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1954,12029000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1954,428000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1954,153860000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1954,126410000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1954,157991000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1954,5413000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1955,10813000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1955,9993000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1955,12469000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1955,514000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1955,152200000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1955,137940000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1955,157721000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1955,5953000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1956,9901000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1956,10615000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1956,16997000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1956,553000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1956,133860000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1956,139962000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1956,194028000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1956,6090000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1957,9919000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1957,10805000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1957,18449000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1957,551000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1957,132190000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1957,140328000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1957,202828000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1957,5948000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1958,9757000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1958,11550000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1958,19158000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1958,659000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1958,125585000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1958,143246000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1958,205074000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1958,6845000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1959,9555000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1959,12148000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1959,19599000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1959,892000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1959,118981000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1959,144337000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1959,202878000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1959,8315000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1960,9867000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1960,11727000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1960,17662000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1960,1001000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1960,119053000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1960,136355000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1960,185110000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1960,9327000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1961,10528000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1961,12820000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1961,20098000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1961,1197000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1961,121868000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1961,145606000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1961,202093000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1961,10998000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1962,12467000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1962,14592000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1962,19730000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1962,1646000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1962,140552000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1962,160708000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1962,200664000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1962,14814000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1963,11826000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1963,14657000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1963,20427000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1963,2510000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1963,132843000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1963,158071000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1963,203197000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1963,22134000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1964,12275000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1964,14450000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1964,19958000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1964,2864000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1964,132178000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1964,150690000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1964,194795000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1964,24820000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1965,12219000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1965,14856000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1965,19428000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1965,3057000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1965,128404000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1965,149355000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1965,186019000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1965,26295000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1966,18510000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1966,19185000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1966,23309000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1966,3527000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1966,168493000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1966,174488000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1966,206349000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1966,29534000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1967,22369000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1967,21190000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1967,24270000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1967,3760000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1967,196484000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1967,186080000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1967,209234000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1967,31064000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1968,24962000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1968,20781000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1968,24974000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1968,4247000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1968,210892000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1968,176645000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1968,208207000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1968,33859000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1969,25769000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1969,21552000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1969,25857000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1969,4574000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1969,209575000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1969,174982000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1969,205776000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1969,35124000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1970,23963000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1970,22462000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1970,23875000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1970,5212000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1970,185265000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1970,169743000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1970,181754000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1970,37291000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1971,22280000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1971,21691000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1971,23016000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1971,5859000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1971,164157000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1971,153039000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1971,165437000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1971,38613000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1972,22094000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1972,24041000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1972,23799000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1972,6533000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1972,147905000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1972,154685000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1972,157074000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1972,40501000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1973,21480000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1973,25324000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1973,24696000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1973,7425000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1973,132152000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1973,149548000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1973,148994000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1973,43476000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1974,21548000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1974,26934000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1974,24772000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1974,8439000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1974,122846000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1974,144895000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1974,137323000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1974,45370000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1975,21644000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1975,27962000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1975,26024000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1975,10501000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1975,115292000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1975,138842000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1975,132423000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1975,49580000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1976,23759000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1976,31360000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1976,28395000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1976,12144000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1976,116481000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1976,141047000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1976,131287000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1976,51948000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1977,26703000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1977,36353000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1977,31145000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1977,13367000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1977,121810000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1977,152642000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1977,134877000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1977,53669000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1978,28950000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1978,39504000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1978,32877000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1978,14797000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1978,121674000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1978,152585000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1978,131352000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1978,55420000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1979,31497000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1979,41694000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1979,34873000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1979,16657000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1979,122941000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1979,149417000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1979,128858000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1979,57600000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1980,34572000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1980,46984000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1980,41556000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1980,18871000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1980,123616000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1980,150940000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1980,133951000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1980,58691000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1981,43177000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1981,57050000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1981,52370000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1981,22952000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1981,136212000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1981,164646000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1981,150218000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1981,64092000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1982,52099000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1982,68034000000
tbl.6.03.TOA.by.Public.Law,TOA,current,air.force,1982,65017000000
tbl.6.03.TOA.by.Public.Law,TOA,current,defense.wide,1982,25518000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,army,1982,149359000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,navy,1982,181376000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,air.force,1982,170443000000
tbl.6.03.TOA.by.Public.Law,TOA,constant,defense.wide,1982,67234000000
tbl.6.03.TOA.by.Public.Law,TOA,current,army,1983,57359000000
tbl.6.03.TOA.by.Public.Law,TOA,current,navy,1983,78951000000
