source.table,budget.type,deflator.type,FY,major.force.program,amount
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2021,strategic.forces,18072000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2022,strategic.forces,18962000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2023,strategic.forces,0
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2024,strategic.forces,0
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2025,strategic.forces,0
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,2026,strategic.forces,0
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1962,strategic.forces,106159000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1963,strategic.forces,95861000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1964,strategic.forces,82025000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1965,strategic.forces,61421000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1966,strategic.forces,55335000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1967,strategic.forces,54202000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1968,strategic.forces,58776000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1969,strategic.forces,64161000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1970,strategic.forces,50490000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1971,strategic.forces,48826000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1972,strategic.forces,45951000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1973,strategic.forces,42064000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1974,strategic.forces,36103000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1975,strategic.forces,34356000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1976,strategic.forces,31695000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1977,strategic.forces,37684000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1978,strategic.forces,34650000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1979,strategic.forces,29890000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1980,strategic.forces,34210000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1981,strategic.forces,34485000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1982,strategic.forces,39685000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1983,strategic.forces,47939000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1984,strategic.forces,60708000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1985,strategic.forces,59268000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1986,strategic.forces,53751000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1987,strategic.forces,48765000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1988,strategic.forces,42608000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1989,strategic.forces,43483000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1990,strategic.forces,36947000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1991,strategic.forces,35655000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1992,strategic.forces,29367000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1993,strategic.forces,24013000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1994,strategic.forces,17085000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1995,strategic.forces,14274000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1996,strategic.forces,13411000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1997,strategic.forces,10955000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1998,strategic.forces,11457000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,1999,strategic.forces,11322000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2000,strategic.forces,11334000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2001,strategic.forces,11025000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2002,strategic.forces,12615000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2003,strategic.forces,12176000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2004,strategic.forces,12738000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2005,strategic.forces,12537000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2006,strategic.forces,13063000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2007,strategic.forces,13181000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2008,strategic.forces,13519000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2009,strategic.forces,12389000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2010,strategic.forces,12168000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2011,strategic.forces,14451000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2012,strategic.forces,14903000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2013,strategic.forces,12958000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2014,strategic.forces,13383000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2015,strategic.forces,13220000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2016,strategic.forces,12739000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2017,strategic.forces,14067000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2018,strategic.forces,14971000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2019,strategic.forces,17215000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2020,strategic.forces,15404000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2021,strategic.forces,18486000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2022,strategic.forces,18962000000
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2023,strategic.forces,0
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2024,strategic.forces,0
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2025,strategic.forces,0
tbl.6.05_Constant.TOA.by.Major.Force.Program,TOA,constant,2026,strategic.forces,0
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1962,general.purpose.forces,16625000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1963,general.purpose.forces,16464000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1964,general.purpose.forces,16337000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1965,general.purpose.forces,17472000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1966,general.purpose.forces,26445000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1967,general.purpose.forces,29058000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1968,general.purpose.forces,29404000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1969,general.purpose.forces,28428000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1970,general.purpose.forces,26943000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1971,general.purpose.forces,24179000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1972,general.purpose.forces,25135000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1973,general.purpose.forces,25421000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1974,general.purpose.forces,27552000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1975,general.purpose.forces,27931000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1976,general.purpose.forces,32806000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1977,general.purpose.forces,37920000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1978,general.purpose.forces,41874000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1979,general.purpose.forces,46967000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1980,general.purpose.forces,52217000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1981,general.purpose.forces,67807000000
tbl.6.04_Current.TOA.by.Major.Force.Program,TOA,current,1982,general.purpose.forces,86892000000
