Military.Department,FY,Account,Public.Law.Title,Amount,spending.type,Source_Data
Air Force,2004,Base,Procurement,2.8836e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2004,Global War on Terror,Procurement,3.622e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2004,Other Supplemental,Procurement,2e+06,Other Discretionary,"FY17 Green Book, tbl 2.1"
Navy,2016,Base,RDT.E,1.7883e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Navy,2016,Overseas Contingency Ops,RDT.E,3.6e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Navy,2017,Base,RDT.E,1.7276e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Navy,2017,Overseas Contingency Ops,RDT.E,7.8e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2001,Base,RDT.E,1.402e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2001,Global War on Terror,RDT.E,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2001,Other Supplemental,RDT.E,2.77e+08,Other Discretionary,"FY17 Green Book, tbl 2.1"
Air Force,2002,Base,RDT.E,1.4545e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2002,Global War on Terror,RDT.E,-2.6e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2003,Base,RDT.E,1.8513e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2003,Global War on Terror,RDT.E,3.12e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2004,Base,RDT.E,2.0251e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2004,Global War on Terror,RDT.E,3.9e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2004,Other Supplemental,RDT.E,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Navy,2016,Base,Military.Construction,1.91e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Navy,2016,Overseas Contingency Ops,Military.Construction,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Navy,2017,Base,Military.Construction,1.201e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Navy,2017,Overseas Contingency Ops,Military.Construction,6e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2001,Base,Military.Construction,1.386e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2001,Global War on Terror,Military.Construction,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2001,Other Supplemental,Military.Construction,2.4e+07,Other Discretionary,"FY17 Green Book, tbl 2.1"
Air Force,2002,Base,Military.Construction,1.759e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2002,Global War on Terror,Military.Construction,4.7e+07,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2003,Base,Military.Construction,1.496e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2003,Global War on Terror,Military.Construction,1.38e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2004,Base,Military.Construction,1.538e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2004,Global War on Terror,Military.Construction,2.93e+08,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2004,Other Supplemental,Military.Construction,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Navy,2016,Base,Family....Housing,3.7e+08,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Navy,2016,Overseas Contingency Ops,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Navy,2017,Base,Family....Housing,3.95e+08,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Navy,2017,Overseas Contingency Ops,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2001,Base,Family....Housing,1.07e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2001,Global War on Terror,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2001,Other Supplemental,Family....Housing,1.4e+07,Other Discretionary,"FY17 Green Book, tbl 2.1"
Air Force,2002,Base,Family....Housing,1.374e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2002,Global War on Terror,Family....Housing,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2003,Base,Family....Housing,1.534e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2003,Global War on Terror,Family....Housing,2e+06,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2004,Base,Family....Housing,1.434e+09,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2004,Global War on Terror,Family....Housing,7e+06,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2004,Other Supplemental,Family....Housing,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Navy,2016,Base,Revolving.Funds...Other,4.74e+08,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Navy,2016,Overseas Contingency Ops,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Navy,2017,Base,Revolving.Funds...Other,0,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Navy,2017,Overseas Contingency Ops,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2001,Base,Revolving.Funds...Other,1.2e+07,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2001,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2001,Other Supplemental,Revolving.Funds...Other,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Air Force,2002,Base,Revolving.Funds...Other,3.4e+07,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2002,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2003,Base,Revolving.Funds...Other,2.4e+07,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2003,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2004,Base,Revolving.Funds...Other,0,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2004,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2004,Other Supplemental,Revolving.Funds...Other,0,Other Discretionary,"FY17 Green Book, tbl 2.1"
Air Force,2005,Base,Military.Personnel,2.8744e+10,"Base, Discretionary","FY17 Green Book, tbl 2.1"
Air Force,2005,Global War on Terror,Military.Personnel,1.6e+09,OCO.GWOT,"FY17 Green Book, tbl 2.1"
Air Force,2005,Hurricane & Tsunami Relief,Military.Personnel,0,Emergency Relief,"FY17 Green Book, tbl 2.1"
