Public Law Title,FY,Amount,Deflator.Type,Source
Military Personnel,1948,4.301e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1948,1.75e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1948,3.858e+09,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1948,3.695e+09,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1948,4.61e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1948,2.53e+08,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1948,0,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1948,0,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1948,-9.43e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1949,4.507e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1949,1.93e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1949,4.191e+09,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1949,1.745e+09,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1949,2.42e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1949,1.27e+08,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1949,0,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1949,0,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1949,-5.72e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1950,4.891e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1950,1.8e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1950,4.332e+09,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1950,3.728e+09,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1950,6.1e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1950,3.88e+08,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1950,0,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1950,1.68e+08,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1950,-2.12e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1951,8.709e+09,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1951,3.42e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1951,1.2116e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1951,2.2257e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1951,1.254e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1951,2.471e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1951,0,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1951,5.74e+08,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1951,-1.89e+08,Current.Dollars,Table 6.8 DOD BA By Title
Military Personnel,1952,1.1152e+10,Current.Dollars,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1952,3.45e+08,Current.Dollars,Table 6.8 DOD BA By Title
Operation and Maintenance,1952,1.2948e+10,Current.Dollars,Table 6.8 DOD BA By Title
Procurement,1952,2.9367e+10,Current.Dollars,Table 6.8 DOD BA By Title
RDT&E,1952,1.755e+09,Current.Dollars,Table 6.8 DOD BA By Title
Military Construction,1952,4.037e+09,Current.Dollars,Table 6.8 DOD BA By Title
Family Housing,1952,0,Current.Dollars,Table 6.8 DOD BA By Title
Revolving and Management Funds,1952,7.75e+08,Current.Dollars,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1952,-1.83e+08,Current.Dollars,Table 6.8 DOD BA By Title
