FY,Service,Active.or.Civilians,personnel
2018,Defense Agencies,Civilians,193000
2019,Army,Active,484000
2019,Navy,Active,337000
2019,Marine Corps,Active,186000
2019,Air Force,Active,332000
2019,Space Force,Active,0
2019,Full Time Guard and Reserve,Active,83000
2019,Army,Civilians,190000
2019,Navy and Marine Corps,Civilians,218000
2019,Air Force,Civilians,172000
2019,Space Force,Civilians,0
2019,Defense Agencies,Civilians,216000
2020,Army,Active,480000
2020,Navy,Active,341000
2020,Marine Corps,Active,186000
2020,Air Force,Active,333000
2020,Space Force,Active,0
2020,Full Time Guard and Reserve,Active,87000
2020,Army,Civilians,192000
2020,Navy and Marine Corps,Civilians,219000
2020,Air Force,Civilians,174000
2020,Space Force,Civilians,0
2020,Defense Agencies,Civilians,221000
2021,Army,Active,486000
2021,Navy,Active,348000
2021,Marine Corps,Active,184000
2021,Air Force,Active,327000
2021,Space Force,Active,6000
2021,Full Time Guard and Reserve,Active,90000
2021,Army,Civilians,198000
2021,Navy and Marine Corps,Civilians,221000
2021,Air Force,Civilians,173000
2021,Space Force,Civilians,0
2021,Defense Agencies,Civilians,214000
