FY,Service,Active.or.Civilians,personnel
1955,Space Force,Civilians,0
1955,Defense Agencies,Civilians,2000
1956,Army,Active,1026000
1956,Navy,Active,670000
1956,Marine Corps,Active,201000
1956,Air Force,Active,910000
1956,Space Force,Active,0
1956,Full Time Guard and Reserve,Active,0
1956,Army,Civilians,592000
1956,Navy and Marine Corps,Civilians,416000
1956,Air Force,Civilians,333000
1956,Space Force,Civilians,0
1956,Defense Agencies,Civilians,2000
1957,Army,Active,998000
1957,Navy,Active,676000
1957,Marine Corps,Active,201000
1957,Air Force,Active,920000
1957,Space Force,Active,0
1957,Full Time Guard and Reserve,Active,0
1957,Army,Civilians,571000
1957,Navy and Marine Corps,Civilians,411000
1957,Air Force,Civilians,417000
1957,Space Force,Civilians,0
1957,Defense Agencies,Civilians,2000
1958,Army,Active,899000
1958,Navy,Active,640000
1958,Marine Corps,Active,189000
1958,Air Force,Active,871000
1958,Space Force,Active,0
1958,Full Time Guard and Reserve,Active,0
1958,Army,Civilians,530000
1958,Navy and Marine Corps,Civilians,381000
1958,Air Force,Civilians,373000
1958,Space Force,Civilians,0
1958,Defense Agencies,Civilians,2000
1959,Army,Active,862000
1959,Navy,Active,626000
1959,Marine Corps,Active,176000
1959,Air Force,Active,840000
1959,Space Force,Active,0
1959,Full Time Guard and Reserve,Active,0
1959,Army,Civilians,497000
1959,Navy and Marine Corps,Civilians,375000
1959,Air Force,Civilians,364000
1959,Space Force,Civilians,0
1959,Defense Agencies,Civilians,2000
1960,Army,Active,873000
1960,Navy,Active,617000
1960,Marine Corps,Active,171000
1960,Air Force,Active,815000
1960,Space Force,Active,0
1960,Full Time Guard and Reserve,Active,0
1960,Army,Civilians,473000
1960,Navy and Marine Corps,Civilians,365000
1960,Air Force,Civilians,355000
1960,Space Force,Civilians,0
1960,Defense Agencies,Civilians,2000
1961,Army,Active,859000
1961,Navy,Active,626000
1961,Marine Corps,Active,177000
1961,Air Force,Active,821000
1961,Space Force,Active,0
1961,Full Time Guard and Reserve,Active,0
1961,Army,Civilians,472000
1961,Navy and Marine Corps,Civilians,363000
1961,Air Force,Civilians,346000
1961,Space Force,Civilians,0
1961,Defense Agencies,Civilians,2000
1962,Army,Active,1066000
1962,Navy,Active,666000
1962,Marine Corps,Active,191000
1962,Air Force,Active,885000
1962,Space Force,Active,0
1962,Full Time Guard and Reserve,Active,0
1962,Army,Civilians,476000
1962,Navy and Marine Corps,Civilians,365000
1962,Air Force,Civilians,349000
1962,Space Force,Civilians,0
1962,Defense Agencies,Civilians,20000
1963,Army,Active,976000
1963,Navy,Active,665000
1963,Marine Corps,Active,189000
1963,Air Force,Active,870000
1963,Space Force,Active,0
1963,Full Time Guard and Reserve,Active,0
1963,Army,Civilians,459000
1963,Navy and Marine Corps,Civilians,360000
1963,Air Force,Civilians,337000
1963,Space Force,Civilians,0
1963,Defense Agencies,Civilians,32000
1964,Army,Active,973000
1964,Navy,Active,668000
1964,Marine Corps,Active,189000
1964,Air Force,Active,857000
1964,Space Force,Active,0
1964,Full Time Guard and Reserve,Active,0
1964,Army,Civilians,430000
