budget.type,service,source.table,deflator.type,public.law.title,FY,amount
outlays,army,6.16,constant,family.housing,1955,0
outlays,army,6.16,constant,revolving.and.management,1955,0
outlays,army,6.16,current,MILPERS,1956,3933000000
outlays,army,6.16,current,O.M.,1956,3031000000
outlays,army,6.16,current,Procurement,1956,1723000000
outlays,army,6.16,current,RDT.E,1956,714000000
outlays,army,6.16,current,MILCON,1956,500000000
outlays,army,6.16,current,family.housing,1956,0
outlays,army,6.16,current,revolving.and.management,1956,0
outlays,army,6.16,constant,MILPERS,1956,69452000000
outlays,army,6.16,constant,O.M.,1956,37608000000
outlays,army,6.16,constant,Procurement,1956,13737000000
outlays,army,6.16,constant,RDT.E,1956,6443000000
outlays,army,6.16,constant,MILCON,1956,3966000000
outlays,army,6.16,constant,family.housing,1956,0
outlays,army,6.16,constant,revolving.and.management,1956,0
outlays,army,6.16,current,MILPERS,1957,3952000000
outlays,army,6.16,current,O.M.,1957,3245000000
outlays,army,6.16,current,Procurement,1957,1589000000
outlays,army,6.16,current,RDT.E,1957,735000000
outlays,army,6.16,current,MILCON,1957,398000000
outlays,army,6.16,current,family.housing,1957,0
outlays,army,6.16,current,revolving.and.management,1957,0
outlays,army,6.16,constant,MILPERS,1957,70090000000
outlays,army,6.16,constant,O.M.,1957,38122000000
outlays,army,6.16,constant,Procurement,1957,11894000000
outlays,army,6.16,constant,RDT.E,1957,6303000000
outlays,army,6.16,constant,MILCON,1957,3172000000
outlays,army,6.16,constant,family.housing,1957,0
outlays,army,6.16,constant,revolving.and.management,1957,0
outlays,army,6.16,current,MILPERS,1958,3895000000
outlays,army,6.16,current,O.M.,1958,3319000000
outlays,army,6.16,current,Procurement,1958,1345000000
outlays,army,6.16,current,RDT.E,1958,801000000
outlays,army,6.16,current,MILCON,1958,396000000
outlays,army,6.16,current,family.housing,1958,0
outlays,army,6.16,current,revolving.and.management,1958,0
outlays,army,6.16,constant,MILPERS,1958,65790000000
outlays,army,6.16,constant,O.M.,1958,37421000000
outlays,army,6.16,constant,Procurement,1958,9942000000
outlays,army,6.16,constant,RDT.E,1958,6825000000
outlays,army,6.16,constant,MILCON,1958,3147000000
outlays,army,6.16,constant,family.housing,1958,0
outlays,army,6.16,constant,revolving.and.management,1958,0
outlays,army,6.16,current,MILPERS,1959,3924000000
outlays,army,6.16,current,O.M.,1959,3234000000
outlays,army,6.16,current,Procurement,1959,1097000000
outlays,army,6.16,current,RDT.E,1959,1022000000
outlays,army,6.16,current,MILCON,1959,279000000
outlays,army,6.16,current,family.housing,1959,0
outlays,army,6.16,current,revolving.and.management,1959,0
outlays,army,6.16,constant,MILPERS,1959,62466000000
outlays,army,6.16,constant,O.M.,1959,35660000000
outlays,army,6.16,constant,Procurement,1959,7949000000
outlays,army,6.16,constant,RDT.E,1959,8347000000
outlays,army,6.16,constant,MILCON,1959,2251000000
outlays,army,6.16,constant,family.housing,1959,0
outlays,army,6.16,constant,revolving.and.management,1959,0
