budget.type,service,source.table,deflator.type,public.law.title,FY,amount
outlays,army,6.22,constant,O.M.,1954,50730000000
outlays,army,6.22,constant,Procurement,1954,29726000000
outlays,army,6.22,constant,RDT.E,1954,5880000000
outlays,army,6.22,constant,MILCON,1954,3450000000
outlays,army,6.22,constant,family.housing,1954,0
outlays,army,6.22,constant,revolving.and.management,1954,-1976000000
outlays,army,6.22,constant,trust.receipts.and.other,1954,-793000000
outlays,army,6.22,current,MILPERS,1955,4372000000
outlays,army,6.22,current,O.M.,1955,2697000000
outlays,army,6.22,current,Procurement,1955,1156000000
outlays,army,6.22,current,RDT.E,1955,653000000
outlays,army,6.22,current,MILCON,1955,379000000
outlays,army,6.22,current,family.housing,1955,0
outlays,army,6.22,current,revolving.and.management,1955,-346000000
outlays,army,6.22,current,trust.receipts.and.other,1955,-123000000
outlays,army,6.22,constant,MILPERS,1955,80855000000
outlays,army,6.22,constant,O.M.,1955,36752000000
outlays,army,6.22,constant,Procurement,1955,9726000000
outlays,army,6.22,constant,RDT.E,1955,6455000000
outlays,army,6.22,constant,MILCON,1955,3273000000
outlays,army,6.22,constant,family.housing,1955,0
outlays,army,6.22,constant,revolving.and.management,1955,-2797000000
outlays,army,6.22,constant,trust.receipts.and.other,1955,-995000000
outlays,army,6.22,current,MILPERS,1956,4111000000
outlays,army,6.22,current,O.M.,1956,2690000000
outlays,army,6.22,current,Procurement,1956,1165000000
outlays,army,6.22,current,RDT.E,1956,709000000
outlays,army,6.22,current,MILCON,1956,412000000
outlays,army,6.22,current,family.housing,1956,0
outlays,army,6.22,current,revolving.and.management,1956,-368000000
outlays,army,6.22,current,trust.receipts.and.other,1956,-131000000
outlays,army,6.22,constant,MILPERS,1956,70892000000
outlays,army,6.22,constant,O.M.,1956,35173000000
outlays,army,6.22,constant,Procurement,1956,9395000000
outlays,army,6.22,constant,RDT.E,1956,6565000000
outlays,army,6.22,constant,MILCON,1956,3395000000
outlays,army,6.22,constant,family.housing,1956,0
outlays,army,6.22,constant,revolving.and.management,1956,-2859000000
outlays,army,6.22,constant,trust.receipts.and.other,1956,-1018000000
outlays,army,6.22,current,MILPERS,1957,3926000000
outlays,army,6.22,current,O.M.,1957,2947000000
outlays,army,6.22,current,Procurement,1957,1413000000
outlays,army,6.22,current,RDT.E,1957,725000000
outlays,army,6.22,current,MILCON,1957,457000000
outlays,army,6.22,current,family.housing,1957,0
outlays,army,6.22,current,revolving.and.management,1957,-381000000
outlays,army,6.22,current,trust.receipts.and.other,1957,-114000000
outlays,army,6.22,constant,MILPERS,1957,69895000000
outlays,army,6.22,constant,O.M.,1957,35889000000
outlays,army,6.22,constant,Procurement,1957,10623000000
