Military.Department,FY,Account,Public.Law.Title,Amount,spending.type,Source_Data
Army,2001,Base,Military.Personnel,28837000000,"Base, Discretionary","FY21 Green Book, tbl 2.1"
Army,2001,Global War on Terror,Military.Personnel,0,OCO.GWOT,"FY21 Green Book, tbl 2.1"
Army,2001,Other Supplemental,Military.Personnel,222000000,Other Discretionary,"FY21 Green Book, tbl 2.1"
Army,2002,Base,Military.Personnel,32237000000,"Base, Discretionary","FY21 Green Book, tbl 2.1"
Army,2002,Global War on Terror,Military.Personnel,0,OCO.GWOT,"FY21 Green Book, tbl 2.1"
Army,2003,Base,Military.Personnel,35534000000,"Base, Discretionary","FY21 Green Book, tbl 2.1"
Army,2003,Global War on Terror,Military.Personnel,8574000000,OCO.GWOT,"FY21 Green Book, tbl 2.1"
Army,2001,Base,O.M,25507000000,"Base, Discretionary","FY21 Green Book, tbl 2.1"
Army,2001,Global War on Terror,O.M,0,OCO.GWOT,"FY21 Green Book, tbl 2.1"
Army,2001,Other Supplemental,O.M,865000000,Other Discretionary,"FY21 Green Book, tbl 2.1"
Army,2002,Base,O.M,30966000000,"Base, Discretionary","FY21 Green Book, tbl 2.1"
Army,2002,Global War on Terror,O.M,107000000,OCO.GWOT,"FY21 Green Book, tbl 2.1"
Army,2003,Base,O.M,32988000000,"Base, Discretionary","FY21 Green Book, tbl 2.1"
Army,2003,Global War on Terror,O.M,17418000000,OCO.GWOT,"FY21 Green Book, tbl 2.1"
Army,2001,Base,Procurement,11849000000,"Base, Discretionary","FY21 Green Book, tbl 2.1"
Army,2001,Global War on Terror,Procurement,0,OCO.GWOT,"FY21 Green Book, tbl 2.1"
Army,2001,Other Supplemental,Procurement,7000000,Other Discretionary,"FY21 Green Book, tbl 2.1"
Army,2002,Base,Procurement,11567000000,"Base, Discretionary","FY21 Green Book, tbl 2.1"
Army,2002,Global War on Terror,Procurement,57000000,OCO.GWOT,"FY21 Green Book, tbl 2.1"
Army,2003,Base,Procurement,14578000000,"Base, Discretionary","FY21 Green Book, tbl 2.1"
Army,2003,Global War on Terror,Procurement,750000000,OCO.GWOT,"FY21 Green Book, tbl 2.1"
Army,2001,Base,RDT.E,6216000000,"Base, Discretionary","FY21 Green Book, tbl 2.1"
Army,2001,Global War on Terror,RDT.E,0,OCO.GWOT,"FY21 Green Book, tbl 2.1"
