source.table,budget.type,deflator.type,public.law.title,FY,amount
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1951,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1951,163317000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1951,3827000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1951,145523000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1951,203740000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1951,12513000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1951,14431000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1951,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1951,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1951,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1951,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1952,11141000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1952,331000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1952,13661000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1952,28173000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1952,1796000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1952,2087000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1952,0
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1952,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1952,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1952,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1952,220229000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1952,3986000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1952,173120000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1952,275577000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1952,18202000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1952,18526000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1952,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1952,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1952,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1952,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1953,12181000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1953,356000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1953,10884000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1953,16481000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1953,2112000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1953,2269000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1953,0
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1953,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1953,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1953,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1953,224615000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1953,4229000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1953,145575000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1953,161617000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1953,21219000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1953,19709000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1953,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1953,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1953,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1953,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1954,11190000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1954,386000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1954,8678000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1954,6469000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1954,2243000000
