budget.type,deflator.type,spending.category,source.table,public.law.title,FY,amount
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,O&M,1950,67335000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Procurement,1950,43251000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,RDT.E,1950,5966000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILCON,1950,2377000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,family.housing,1950,0
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,revolving.and.management,1950,0
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,trust.receipts.and.other,1950,0
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,OCO.placeholder,1950,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILPERS,1951,8522000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Retired.Pay.Defense,1951,324000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,O&M,1951,11676000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Procurement,1951,21837000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,RDT.E,1951,1183000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILCON,1951,1631000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,family.housing,1951,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,revolving.and.management,1951,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,trust.receipts.and.other,1951,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,OCO.placeholder,1951,0
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILPERS,1951,163317000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Retired.Pay.Defense,1951,3827000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,O&M,1951,145523000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Procurement,1951,203740000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,RDT.E,1951,12513000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILCON,1951,14431000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,family.housing,1951,0
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,revolving.and.management,1951,0
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,trust.receipts.and.other,1951,0
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,OCO.placeholder,1951,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILPERS,1952,11141000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Retired.Pay.Defense,1952,331000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,O&M,1952,13661000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Procurement,1952,28173000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,RDT.E,1952,1796000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILCON,1952,2087000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,family.housing,1952,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,revolving.and.management,1952,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,trust.receipts.and.other,1952,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,OCO.placeholder,1952,0
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILPERS,1952,220229000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Retired.Pay.Defense,1952,3986000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,O&M,1952,173120000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Procurement,1952,275577000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,RDT.E,1952,18202000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILCON,1952,18526000000
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,family.housing,1952,0
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,revolving.and.management,1952,0
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,trust.receipts.and.other,1952,0
TOA,constant,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,OCO.placeholder,1952,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILPERS,1953,12181000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Retired.Pay.Defense,1953,356000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,O&M,1953,10884000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,Procurement,1953,16481000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,RDT.E,1953,2112000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,MILCON,1953,2269000000
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,family.housing,1953,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,revolving.and.management,1953,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,trust.receipts.and.other,1953,0
TOA,current,Public.Law.Title,tbl.6.01.TOA.by.Public.Law.Title,OCO.placeholder,1953,0
