source.table,budget.type,deflator.type,public.law.title,FY,amount
tbl.6.08_BA.by.Public.Law.Title,BA,current,revolving.and.management.funds,1951,574000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,trust.receipts.and.other,1951,-189000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OCO.placeholder,1951,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,military.personnel,1951,164887000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,retired.pay.Defense,1951,4039000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OM,1951,149341000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,procurement,1951,207163000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,RDTE,1951,13120000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,MILCON,1951,21758000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,family.housing,1951,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,revolving.and.management.funds,1951,4743000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,trust.receipts.and.other,1951,-1566000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OCO.placeholder,1951,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,military.personnel,1952,11152000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,retired.pay.Defense,1952,345000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OM,1952,12948000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,procurement,1952,29367000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,RDTE,1952,1755000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,MILCON,1952,4037000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,family.housing,1952,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,revolving.and.management.funds,1952,775000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,trust.receipts.and.other,1952,-183000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OCO.placeholder,1952,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,military.personnel,1952,220325000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,retired.pay.Defense,1952,4160000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OM,1952,166728000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,procurement,1952,288648000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,RDTE,1952,17848000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,MILCON,1952,35221000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,family.housing,1952,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,revolving.and.management.funds,1952,6638000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,trust.receipts.and.other,1952,-1568000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OCO.placeholder,1952,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,military.personnel,1953,12130000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,retired.pay.Defense,1953,357000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OM,1953,10628000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,procurement,1953,20766000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,RDTE,1953,2233000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,MILCON,1953,2336000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,family.housing,1953,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,revolving.and.management.funds,1953,360000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,trust.receipts.and.other,1953,-206000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OCO.placeholder,1953,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,military.personnel,1953,224176000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,retired.pay.Defense,1953,4237000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OM,1953,143336000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,procurement,1953,200141000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,RDTE,1953,22254000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,MILCON,1953,20251000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,family.housing,1953,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,revolving.and.management.funds,1953,3043000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,trust.receipts.and.other,1953,-1741000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OCO.placeholder,1953,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,military.personnel,1954,11559000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,retired.pay.Defense,1954,387000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OM,1954,10295000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,procurement,1954,9648000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,RDTE,1954,2290000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,MILCON,1954,313000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,family.housing,1954,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,revolving.and.management.funds,1954,100000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,trust.receipts.and.other,1954,-273000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OCO.placeholder,1954,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,military.personnel,1954,214097000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,retired.pay.Defense,1954,4921000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OM,1954,135168000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,procurement,1954,93739000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,RDTE,1954,22136000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,MILCON,1954,3080000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,family.housing,1954,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,revolving.and.management.funds,1954,860000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,trust.receipts.and.other,1954,-2354000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OCO.placeholder,1954,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,military.personnel,1955,11140000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,retired.pay.Defense,1955,424000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OM,1955,8036000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,procurement,1955,6762000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,RDTE,1955,2335000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,MILCON,1955,896000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,family.housing,1955,75000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,revolving.and.management.funds,1955,1119000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,trust.receipts.and.other,1955,-362000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OCO.placeholder,1955,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,military.personnel,1955,202742000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,retired.pay.Defense,1955,5075000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OM,1955,110633000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,procurement,1955,66320000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,RDTE,1955,21735000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,MILCON,1955,7657000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,family.housing,1955,609000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,revolving.and.management.funds,1955,9050000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,trust.receipts.and.other,1955,-2928000000
