Service,Public Law Title,FY,deflator.type,Amount,source.table,data.notes
Army,NA,1948,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1948,Constant,38546000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1948,Constant,25625000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1948,Constant,441000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1948,Constant,1269000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1948,Constant,1103000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1948,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1948,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1948,Constant,-3002000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1948,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1948,Current,1686000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1948,Current,1224000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1948,Current,40000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1948,Current,94000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1948,Current,117000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1948,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1948,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1948,Current,-321000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1949,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1949,Constant,43804000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1949,Constant,29100000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1949,Constant,3992000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1949,Constant,1352000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1949,Constant,213000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1949,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1949,Constant,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1949,Constant,-1595000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1949,Current,0,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1949,Current,1931000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1949,Current,1691000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
Army,NA,1949,Current,439000000,tbl.6-19,All enacted war and supplemental funding is includedl; Includes both discretionary and mandatory 
